Type	Title	Content	Author	 	(	)	。	《	》	一	一作	万里	上	下	不	不得	不知	不见	与	中	为	之	事	亦	人	今	从	何处	入	到	前	去	又	同	后	向	听	在	坐	声	处	多	夜	好	如	将	将军	尽	岂	已	年	开	弦	归	得	心	愁	我	新	无	无人	日	时	明月	春	昨夜	是	更	月	有	望	未	来	梦	欲	死	水	琵琶	生	皆	看	空	罢	能	自	至	见	谁	还	远	道	都	里	长	长安	问	隔	飞	！	，	：	；	？
七言律诗	晚次鄂州	云开远见汉阳城，犹是孤帆一日程。估客昼眠知浪静，舟人夜语觉潮生。三湘衰鬓逢秋色，万里归心对月明。旧业已随征战尽，更堪江上鼓鼙声。	卢纶	0.0	0.0	0.0	0.36849939503703477	0.0	0.0	0.36839367264261136	0.0	0.35754292829636064	0.31683915281576713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3948963400579818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36280863852668505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27731799753900177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36849939503703477	0.0	0.0	0.0
七言律诗	赠阙下裴舍人	二月黄莺飞上林，春城紫禁晓阴阴。(黄莺 一作：黄鹂)长乐钟声花外尽，龙池柳色雨中深。阳和不散穷途恨，霄汉长怀捧日心。献赋十年犹未遇，羞将白发对华簪。	钱起	0.20716192268186778	0.24063331601526844	0.24063331601526844	0.44227535520813555	0.0	0.0	0.0	0.24288990125279075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38027239865985357	0.0	0.43544527247010284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44227535520813555	0.23842186552224548	0.0	0.0
七言律诗	宫词	十二楼中尽晓妆，望仙楼上望君王。锁衔金兽连环冷，水滴铜龙昼漏长。云髻罢梳还对镜，罗衣欲换更添香。遥窥正殿帘开处，袍袴宫人扫御床。	薛逢	0.0	0.0	0.0	0.3891131108634866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38900147439858035	0.0	0.0	0.0	0.0	0.299866290114847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4254510078316598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4092002741902256	0.0	0.0	0.0	0.0	0.0	0.3278515066526888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3891131108634866	0.0	0.0	0.0
七言律诗	同题仙游观	仙台初见五城楼，风物凄凄宿雨收。(初见 一作：下见)山色遥连秦树晚，砧声近报汉宫秋。疏松影落空坛静，细草香闲小洞幽。(闲 一作：生)何用别寻方外去，人间亦自有丹丘。	韩翃	0.2906747825786207	0.33763944603528645	0.33763944603528645	0.31028456159009027	0.0	0.0	0.0	0.3408057249286052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3101955410184266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2451653896902221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33251136745043397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31028456159009027	0.33453649698499227	0.0	0.0
五言古诗	贼退示官吏	癸卯岁，西原贼入道县，焚烧杀掠，几尽而去。明年，贼又攻永破邵，不犯此州边鄙而退。岂力能制敌与？盖蒙其伤怜而已。诸使何为忍苦征敛，故作诗一篇以示官吏。昔岁逢太平，山林二十年。泉源在庭户，洞壑当门前。井税有常期，日晏犹得眠。忽然遭世变，数岁亲戎旃。今来典斯郡，山夷又纷然。城小贼不屠，人贫伤可怜。是以陷邻境，此州独见全。使臣将王命，岂不如贼焉？今彼征敛者，迫之如火煎。谁能绝人命，以作时世贤！思欲委符节，引竿自刺船。将家就鱼麦，归老江湖边。	元结	0.0	0.0	0.0	0.47536643019326036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10552725517518305	0.0	0.0	0.0	0.10824508490445245	0.0	0.0	0.0	0.0	0.0	0.10466759546076802	0.0	0.0	0.0	0.14850263415419296	0.0	0.0	0.10731475972225522	0.27594280529772264	0.0	0.0	0.0	0.0	0.10466759546076802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11677840223502063	0.0	0.0	0.13797140264886132	0.0	0.0	0.0	0.0	0.11801325631959544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12201254926225977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2910963700704202	0.0	0.0	0.0	0.11801325631959544	0.0	0.0	0.1428303553059407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12994488196556564	0.6111854102484776	0.0	0.0	0.22037176854356283
五言古诗	同从弟南斋玩月忆山阴崔少府	高卧南斋时，开帷月初吐。清辉澹水木，演漾在窗户。冉冉几盈虚，澄澄变今古。(冉冉 一作：荏苒)美人清江畔，是夜越吟苦。千里共如何，微风吹兰杜。(共 一作：其)	王昌龄	0.2776899352515191	0.3225566217892942	0.3225566217892942	0.37052964765783003	0.0	0.0	0.0	0.32558145859513615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2284360978208121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31172598236174104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28761025288713943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37052964765783003	0.3195922857941966	0.0	0.0
五言古诗	渭川田家	斜阳照墟落，穷巷牛羊归。(斜阳 一作：斜光)野老念牧童，倚杖候荆扉。雉雊麦苗秀，蚕眠桑叶稀。田夫荷锄至，相见语依依。(至 一作：立)即此羡闲逸，怅然吟式微。	王维	0.2511047141505616	0.29167599552504286	0.29167599552504286	0.335056224400624	0.0	0.0	0.0	0.29441124331425456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23290456798065362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.563764499590878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.335056224400624	0.2889954563761501	0.0	0.0
五言古诗	西施咏	艳色天下重，西施宁久微。朝为越溪女，暮作吴宫妃。贱日岂殊众，贵来方悟稀。邀人傅脂粉，不自著罗衣。君宠益娇态，君怜无是非。当时浣纱伴，莫得同车归。持谢邻家子，效颦安可希。	王维	0.0	0.0	0.0	0.6416795211993066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3186034393700975	0.0	0.0	0.0	0.0	0.0	0.27383687218561636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6416795211993066	0.0	0.0	0.0
五言古诗	送别	下马饮君酒，问君何所之？君言不得意，归卧南山陲。但去莫复问，白云无尽时。	王维	0.0	0.0	0.0	0.21051249223054463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32712372712775467	0.0	0.0	0.0	0.0	0.0	0.0	0.41452307237219416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3326648088959231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4085067922974979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.427697274951522	0.0	0.0	0.0	0.3157687383458169	0.0	0.0	0.3415650021410695
五言古诗	送綦毋潜落第还乡	圣代无隐者，英灵尽来归。遂令东山客，不得顾采薇。既至金门远，孰云吾道非。(金门 一作：君门)江淮度寒食，京洛缝春衣。置酒长安道，同心与我违。(长安道 一作：临长道)行当浮桂棹，未几拂荆扉。远树带行客，孤村当落晖。(孤村 一作：孤城)吾谋适不用，勿谓知音稀。	王维	0.21867071572117683	0.25400159816157414	0.25400159816157414	0.3112305170666567	0.0	0.0	0.0	0.25638354703802196	0.0	0.0	0.0	0.0	0.16676254257028558	0.0	0.0	0.12402233373804071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1352142637580376	0.0	0.0	0.0	0.13979647314416468	0.0	0.11621547819943935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16364857590820434	0.0	0.0	0.0	0.16364857590820434	0.49094572772461303	0.0	0.0	0.0	0.33352508514057116	0.0	0.0	0.0	0.0	0.3112305170666567	0.25166729147127614	0.0	0.0
